Name;Street;Zipcode;City;Country;Phonenumber;Website;Email;Segment;Subsegment
Giesserei Blöcher GmbH;Zur Wolfskaute 1;35216;Biedenkopf;Germany;+49 6461 95510;www.bloecher.de;info@bloecher.de;Industrial and Services;Service Bureau
Gratz Engineering Ltd;Linsenbergstraße 9;74189;Weinsberg;Germany;+49 7134 98990;www.gratz.de;info@gratz.de;Industrial and Services;Service Bureau
Grunewald & Partner GmbH & Co. KG;Universitätsstraße 142;44805;Bochum;Germany;+49 234 970650;;info@grunewald.de;Industrial and Services;Service Bureau
Hawener 3D GmbH;Hanfstrasse 1;66806;Ensdorf;Germany;+49 6831-9661563;www.hawener.de;info@hawener.de;Industrial and Services;Service Bureau
HBW-Gubesch Kunststoff-Engineering GmbH;Losaurach 116;91489;Wilhelmsdorf;Germany;+49 9104 82700;www.hbw-gubesch.de;info@gubesch.de;Industrial and Services;Service Bureau
IGW - Ingenieurgesellschaft Weferlingen mbH;Platz der Jugend 5;39356;Weferlingen;Germany;+49 39061 9830;www.igwmbh.de;info@igwmbh.de;Industrial and Services;Service Bureau
C.F.K. CNC-Fertigungstechnik Kriftel GmbH;Gutenbergstraße 8;65830;Kriftel/Taunus;Germany;+49 6192 99450;www.cfk-online.de;info@cfk-online.de;Industrial and Services;Service Bureau
invenio Kunststoff Engineering GmbH;Blumenstr. 7;59597;Erwitte;Germany;+49 2943 481800;www.wodke.de;invenio@wodke.de;Industrial and Services;Service Bureau
KET Karosserie Entwicklung Thurner GmbH;Hufelandstraße 19;80939;München;Germany;+49 89 318 36 100;www.ket-muc.com;info@ket-muc.com;Industrial and Services;IM
Klaus Heinzmann Prototyping (KHP);Fischbacherstr. 8-1;78078;Niedereschbach;Germany;+49 77 28  64 40 44;www.khp-prototyping.de;heinzmann@khp-prototyping.de;Industrial and Services;Service Bureau
LeoTech Rapid Prototyping and Tooling GmbH;Röntgenstrasse 31;71229;Leonberg-Höfingen;Germany;+49 7152 928340;www.leotech.de;info@leotech.de;Industrial and Services;Service Bureau
M. Weihbrecht Lasertechnik GmbH;Frankenstraße 1;74549;Wolpertshausen;Germany;+49 7904 97 100;www.weihbrecht.de;info@weihbrecht.de;Industrial and Services;Service Bureau
Modell Technik Rapid Prototyping GmbH;Ziegeleistraße 3b;99880;Waltershausen;Germany;+49 3622 44240;www.modelltechnik.de;info@modelltechnik.de;Industrial and Services;Service Bureau
OHP Optik Haptik Prototyping GmbH (Alphaform);Friedenbachstraße 21;35781;Weilburg-Kubach;Germany;+49 6471 9180;www.ohp-weilburg.de;info@ohp-weilburg.de;Industrial and Services;Machinery & Equipment
Pininfarina Deutschland GmbH;Frankfurter Ring 81;80807;München;Germany;+49 89 35 77 50 60;www.pininfarina.de;info@pininfarina.de;Industrial and Services;Engineering & Product Design
PORTEC GmbH;Am Köhlersgehäu 32;98544;Zella-Mehlis;Germany;+49 03682 46690;www.portec-gmbh.de;info@portec-gmbh.de;Industrial and Services;Service Bureau
Promod - Prototypenzentrum GmbH;Robert-Bosch-Str. 24;72160;Horb-Bildechingen;Germany;+49 7451 552950;www.promod-technologie.de;promod@promod-technologie.de;Industrial and Services;Service Bureau
Rainer Kotte GmbH & Co. KG;Mechenharder Str. 5;63820;Elsenfeld;Germany;+49 60 22 62 53;www.kotte.de;info@kotte.de;Industrial and Services;Machinery & Equipment
Additive Manufacturing Nordwest e.V.;Wiener Straße 12 D;28359;Bremen;Germany;+49 421 2246226;www.am-nordwest.de;mail@am-nordwest.de;Industrial and Services;Research & Education
Schneider Prototyping GmbH;Seeber Flur 10;55545;Bad Kreuznach;Germany;+49 671 888 770;www.si-smart.de;anfragen@si-smart.de;Industrial and Services;Service Bureau
Staegi GmbH;Schlosserstr. 10;72622;Nürtingen;Germany;+49 7022 78 67 69 7;www.staegi.de;office@staegi.de;Industrial and Services;Service Bureau
Stroehle GmbH;Industriestraße 29;73340;Amstetten;Germany;+49 7331 9 79 00;www.stroehle.de;info@sma-racing.com;Mobility and Transportation;Motorbike
TEUFEL Prototypen GmbH;Veilchenweg 1;89278;Unterfahlheim;Germany;+49 7308 96 400;www.teufel-prototypen.de;info@teufel-prototypen.de;Industrial and Services;Service Bureau
tobaTEC GmbH & Co. KG;Karl-Fischer-Str. 21;75056;Sulzfeld;Germany;+49 72 69 96 09 701;www.tobatec.net;info@tobatec.com;Industrial and Services;Service Bureau
trinckle 3D GmbH;Neuendorfstrasse 26;16761;Hennigsdorf (Berlin);Germany;+ 49 33 022 094 740;www.trinckle.com;info@trinckle.com;Industrial and Services;Service Bureau
utg - Lehrstuhl für Umformtechnik und Giessereiwesen;Walther-Meißner-Straße 4;85747;Garching;Germany;+49 89 28913791;www.utg.mw.tum.de;info@utg.de;Industrial and Services;Research & Education
V.G.Kunststofftechnik GmbH;Ludwig-Richter-Str. 38;9131;Chemnitz;Germany;+49 37 1 471 61 0;www.vg-kunst.de;info@vg-kunst.de;Industrial and Services;Service Bureau
VisioTech GmbH;Ringstraße 139;70839;Gerlingen;Germany;+49 7156 177 82 17;www.visiotech-gmbh.de;mail@visiotech-gmbh.de;Industrial and Services;Service Bureau
AM Ventures;Robert-Stirling-Ring 1;82152;Krailling;Germany;;www.amv.ventures;info@amv.ventures;Industrial and Services;Service Bureau
3D-Labor GmbH;Zeughausstr. 44;20459;Hamburg;Germany;+49 40593 555 30;www.3d-lab.de;Info@eye-systems.de;Industrial and Services;Service Bureau
Aross 3D GmbH;Ruselbergstr. 92;94469;Deggendorf;Germany;+49 991 40545701;www.aross3d.de;3ddruck@aross.de;Industrial and Services;Service Bureau
Freeforma ;Waldemarstraße 37a;10999;Berlin;Germany;+49 30 609 83 440;www.freeforma.am;info@freeforma.am;Industrial and Services;Service Bureau
innojoin GmbH;Bauerland 17;28259;Bremen;Germany;+49 0421 8351780;www.innojoin.de;info@innojoin.de;Industrial and Services;Service Bureau
Prototec GmbH & Co. KG;Askay 18;57439;Attendorn;Germany;+49 2722 959595;www.prototec.de;info@prototec.de;Industrial and Services;Service Bureau
STURM GmbH;Falkstrasse 75;47058;Duisburg;Germany;+49 203 87845390;www.sturm.industries;contact@sturm.industries;Industrial and Services;Service Bureau
Fabrica GmbH;Hüttenstraße 185;50170;Kerpen-Sindorf;Germany;+49 2273 56955;www.fabrica3d.de;info@fabrica3d.de;Industrial and Services;Service Bureau
CP – Centrum für Prototypenbau GmbH;Straßburger Allee 15;41812;Erkelenz;Germany;+49 2431 96350;www.cp-gmbh.de;schwarz@cp-gmbh.de;Industrial and Services;Service Bureau
MOKINE - 3D ANIMATION | 3D VISUALISIERUNG | 3D DRUCK;Bergische Gasse 11;52066;Aachen ;Germany;+49 241 93 91 70 18;www.mokine.com;mo@mokine.com;Industrial and Services;Service Bureau
Günther 3D-Studio;Rechtmurgstraße 24/1;72270;Baiersbronn;Germany;+49 176 84115565;www.guenther3dstudio.com;info@guenther3dstudio.com;Industrial and Services;Service Bureau
ScanyME GmbH;Egerten 3;74388;Talheim;Germany;+49 7133 9007935;www.3d-colorprint.de;info@3d-colorprint.de;Industrial and Services;Service Bureau
Think3DDD GbR;Teutonenstraße 74;12524;Berlin;Germany;+49 30 67805995;shop.think3ddd.de;info@think3ddd.de;Healthcare;Personalized Prosthetics
Hilzensauer CAD Design + 3D Print;Bahnhofplatz 22;83233;Bernau;Germany;+49 8051 969125;www.hilzensauer-cad-design.de;mail@hilzensauer-cad-design.de;Industrial and Services;Service Bureau
PROTIQ GmbH;Flachsmarktstr. 54;32825;Blomberg;Germany;+49 5235 342305;www.protiq.com;rgaertner@protiq.com;Industrial and Services;Service Bureau
about3d UG;Hauptstr. 27;50226;Frechen;Germany;+49 9223 4955420;www.about3d.de;info@about3d.de;Industrial and Services;Service Bureau
3D Druck Biemer;Cottbusser Str. 6;35764;Sinn;Germany;+49 160 5530653;www.3d-druck-biemer.de;info@3d-druck-biemer.de;Industrial and Services;Service Bureau
Ingenieurbüro Konrad Rauh;Lindenallee 9;83673;Bichl;Germany;+49 8857 69 80 696;www.3d-rauh.de;info@3d-rauh.de;Industrial and Services;Service Bureau
3D Manufaktur Christian Weiskopf;Weißenbacherstr. 9;91365;Weilersbach;Germany;+49 9191 3405811;www.3ddm.eu;christian_weiskopf@web.de;Industrial and Services;Service Bureau
Stemo Tec GmbH;Erinstr. 29;44575;Castrop-Rauxel;Germany;+49 2305 9787 0;www.stemotec.de;s.aigner@stemotec.de;Industrial and Services;Service Bureau
INGENIEURBÜRO CHRISTIAN REIL;Am Münsterbühl 4;93413;Cham;Germany;+49 171 6865552;www.cr-ingenieurbuero.de;info@xn--cr-ingenieurbro-cwb.de;Industrial and Services;Service Bureau
3D Generation GmbH;Viktoria Strasse 15;44135;Dortmund;Germany;+49 231 185 883 50 ;www.3dgeneration.com;jf@3dgeneration.com;Industrial and Services;Service Bureau
3D Make me small Patrick Fedtke;Hammer Straße 60;48153;Münster;Germany;+49 251 91 58 66 63;wwww.3dmakemesmall.de;info@3dmakemesmall.de;Industrial and Services;Service Bureau
Gesellschaft für digitale Zahnmedizin GbR;Schinkelstraße 28;45138;Essen;Germany;+49 175 8989965;www.bite-digital.de;rb@bite-digital.de;Industrial and Services;Service Bureau
vividesign 3D;Fritz-Arnold-Str.21;78467;Konstanz;Germany;+49 5221 12 13 100;www.vividesign.de;management@vividesign.de;Industrial and Services;Service Bureau
bau-shop-24 GmbH;Fritz-Müller-Str.115;73730;Esslingen;Germany;+49 711 94 57 14 77;www.3d-arena.com;info@3d-arena.com;Industrial and Services;Service Bureau
3D Druckzentrum Ruhr;Schützenbahn 19/21;45127;Essen;Germany;;www.3d-druckzentrum-ruhr.de;kontakt@3d-druckzentrum-ruhr.de;Industrial and Services;Service Bureau
Kapp 3D-Druck;Lichtstraße 10;40235;Düsseldorf;Germany;+49 176 44409786;www.3ddruck-duesseldorf.com;mail@3ddruck-duesseldorf.com;Industrial and Services;Service Bureau
worldiety GmbH;Marie-Curie-Str. 1;26129;Oldenburg;Germany;+49 441 36116172;www.3d-druck-oldenburg.de;service@3d-druck-oldenburg.de;Industrial and Services;Service Bureau
3D IQ Thekla Rautner;Frühlingstraße 2 b;85716;Unterschleißheim;Germany;+49 89 316 050 38;www.3d-iq.de;mail@3d-iq.de;Industrial and Services;Service Bureau
delbramed GmbH;Alemannenstraße 20;78665;Frittlingen;Germany;+49 7426 964040;www.delbramed.de;info@delbramed.de;Industrial and Services;Service Bureau
MBFZ toolcraft GmbH;Handelsstraße 1;91166;Georgensgmünd;Germany;+49 9172 69 560;www.toolcraft.de;toolcraft@toolcraft.de;Industrial and Services;Machinery & Equipment
3D-Laserdruck GbR;Lembergstraße 54;72766;Reutlingen;Germany;+49 7121 14 7890;www.3d-laserdruck.de;info@3d-laserdruck.de;Industrial and Services;Service Bureau
3D-Mectronic Frank Heimbert Kulke;Fabrikstr. 13;95111;Rehau;Germany;+49 9286 8739130;www.3d-mectronic.de;info@3d-mectronic.de;;
JJ3D UG (haftungsbeschränkt);Kiwittsmoor 32;22417;Hamburg;Germany;+49 176 48123029;www.3dmarktplatz24.de;online.shop@jj3d.de;Industrial and Services;Service Bureau
Horbach Industriebedarf GmbH;Hauptstraße 139 a;55743;Idar-Oberstein;Germany;+49 6781 458970;www.horbachtechnik.de;info@horbach-technik.de;;
dooblex GmbH;Marsiliusstrasse 11;50937;Köln;Germany;+49 221 9215980;www.dooblex.de;;;
EGO3D;Solinger Str. 9;45481;Mülheim an der Ruhr;Germany;+49 208 46918177;www.ego-3d.de;info@ego-3d.de;Industrial and Services;Service Bureau
3D-Printservices UG;Karlsbader Str. 76;75196;Remchingen;Germany;+49 07232 5099760 ;www.3d-printservices.de;info@3d-printservices.de;Industrial and Services;Service Bureau
URBANMAKER UG (haftungsbeschränkt);Nevinghoff 16;48147;Münster;Germany;+49 251 32 700 469;www.urbanmaker.de;mail@urbanmaker.de;Industrial and Services;Service Bureau
CADITS GmbH;Anton-Günthe- Str. 2;93073;Neutraubling ;Germany;+49 9401 9132852;www.3d-printparts.de;info@3d-printparts.de;Industrial and Services;Service Bureau
VOXELWORLD;Peter-Krauseneck-Straße 16;79618;Rheinfelden (Baden) ;Germany;+49 7623 964 418 ;www.voxelworld.info;info@voxelworld.info;Industrial and Services;Service Bureau
D3 TECHNOLOGY GMBH;Grünewalder Str. 29-31;42657;Solingen;Germany;+49 212 596 777 60;www.d3t.gmbh;info@d3t.gmbh;Industrial and Services;Service Bureau
AUMAT Maschinenbau GmbH;Kyllmannweg 19;42699;Solingen;Germany;+49 21238 2450;www.aumat.de;info@aumat.de;Industrial and Services;Service Bureau
ArchiMod Stefan Hempel & Sascha Mang GbR;Gartenstr. 2;74638;Waldenburg;Germany;;www.archimod-3d.de;info@archimod-3d.de;Industrial and Services;Service Bureau
V3-ENGINEERING;Schwartenseekamp 41c;22880;Wedel;Germany;+494103 1895220;www.v3-engineering.com;v3.andreas.strohmeyer@gmail.com;Industrial and Services;Service Bureau
Buchenbach 3D-Druck;Kriegsbergstr. 15;71364;Winnenden;Germany;+49 7195 6979647;www.3d-buchenbach.de;mail@3d-buchenbach.de;Industrial and Services;Service Bureau
GESCO AG;Johannisberg 7;42103;Wuppertal;Germany;+49 202 248200;www.gesco.de;info@gesco.de;Industrial and Services;Service Bureau
3D4real 3D Druck Simon Kazanli;Wilhelm-Kopf-Str. 15;71672;Marbach am Neckar;Germany;n/a;www.3d4real.net;info@3d4real.net;Industrial and Services;Service Bureau
MTA-Prototyping;Wiesenstraße 15;96365;Nordhalben;Germany;+49 9267 5 92 96 35;www.mta-prototyping.com;info@mta-prototyping.de;Industrial and Services;Service Bureau
3Dbig.de by SEs Solutions GmbH;Dresdner Str. 172c;1705;Freital;Germany;+49 351 212 968 03;www.3dbig.de;info@3dbig.de;Industrial and Services;Service Bureau
DENTALimpulse GmbH;Sülldorfer Kirchenweg 133;22589;Hamburg;Germany;+49 040 257767570;www.3dimpulse.de;info@3dimpulse.de;Industrial and Services;Service Bureau
3Dinx Marc Kohlen;reichswaldstrasse 39;47665;Sonsbeck;Germany;+49 2838910041;www.3dinx.com;info@3dinx.com;Industrial and Services;Service Bureau
3DreamsDesign Tanja Hildebrand;Adenauerstraße 20A2;52146;Würselen;Germany;+49 1774564859;www.3dreamsdesign.de;info@3dreamsdesign.de;Industrial and Services;Service Bureau
