Column1, Rank,Company,Country,Sales,Assets,Market Value,Sector,Industry,Snippet,
20,21,Allianz,Germany,115.7,9359,83.7,Financials,Diversified Insurance,"https://www.allianz.deDie Allianz untersttzt die Olympische und Paralympische Bewegung als weltweiter Versicherungspartner von 2021 bis 2028 und bringt mit verschiedenen Aktivit䴥n Fans, Athleten, Teams und Mitarbeiter in den vier Pilotm䲫ten Australien, China, Frankreich und Spanien zusammen. ܢer die Partnerschaft . Unser Angebot. Das k_xDE7A__xDFB4_e interessant fr Sie sein. Risikolebensversicherung ...",
21,22,China Mobile,Hong Kong,106.8,2189,225.3,Telecommunication Services,Telecommunications services,07.01.2021 China Mobile bei der FAZ: Hier erhalten Sie ausfhrliche und aktuelle Nachrichten zum weltweit gr_xDE3F__xDD25_n Mobilfunkanbieter. Jetzt lesen!,
22,23,BNP Paribas,France,74.7,21907,80.5,Financials,Major Banks,"https://www.derivate.bnpparibas.comBNP Paribas. Zertifikate und Hebelprodukte. Europa-Allee 12 60327 Frankfurt am Main Deutschland. Haben Sie Fragen, Wnsche oder Anregungen? Hier erreichen Sie uns pers_xDE7A__xDF29_ch: Betreff: * Ihre Nachricht: * E-Mail-Adresse: * Vorname: * Nachname: * Mein Portfolio Watchlist. ?-MAIL-ADRESSE: PASSWORT: Melden Sie sich hier kostenlos an und kommen Sie in den Genuss exklusiver ",
23,24,Alphabet,United States,89.9,1675,579.5,Information Technology,,33 Zeilen Dora  Ida  Kaufmann  Theodor  Anton  Theodor. Nachfolgend finden Sie das offizielle ,
24,25,China Petroleum & Chemical,China,255.7,2167,105.1,Energy,,"China National Petroleum Corporation ist ein staatlicher chinesischer ֬konzern. Zusammen mit CNOOC und Sinopec geh_xDE8B__xDD20_CNPC zu den drei groߥn Mineral_xDE73__xDD6E_ternehmen Chinas. Das Unternehmen steht unter der Leitung von Wang Neuer Inhalt wird bei Auswahl oberhalb des aktuellen Fokusbereichs hinzugefgtChina National Petroleum Corporation ist ein staatlicher chinesischer ֬konzern. Zusammen mit CNOOC und Sinopec geh_xDE8B__xDD20_CNPC zu den drei groߥn Mineral_xDE73__xDD6E_ternehmen Chinas. Das Unternehmen steht unter der Leitung von Wang Yilin. Im Jahr 2017 besch䦴igte der chinesische Konzern insgesamt ber 1,3 Mio. Mitarbeiter.",
25,26,Total,France,128.1,231,128.1,Energy,Oil & Gas Operations,https://www.tankstelle.total.de22.10.2020 Das TOTAL Online-Magazin. Im TOTAL Magazin informieren wir dich ber aktuelle Aktionen an unserem mehr als 1000 TOTAL Stationen und bieten dir Services und Tipps rund um die Themen Mobilit䴬 Kraftstoffe und Autopflege. Neueste Artikel 10.05.2021. TOTAL Club Punkte einl_xDE8E__xDD6E_  fr Kaffeepr䭩en und mehr . 08.02.2021. Frhstcken wie in Paris. 22.01.2021. Erholsamer Urlaub ,
26,27,AXA Group,France,132.2,9259,60.8,Financials,Diversified Insurance,"https://www.axa.deUnseren Schaden- und Kundenservice erreichen Sie telefonisch oder per E-Mail. Unsere Vertriebspartner sind auch weiterhin fr Sie da. Hier finden Sie die Kontaktdaten von Ihrem Ansprechpartner vor Ort. My AXA  Ihr pers_xDE7A__xDF29_ches Kundenportal: Managen Sie alle Versicherungen, Bausparvertr䧥 und Fondsdepots einfach online. In My AXA k_xDE7A__xDFA5_n Sie bequem Ihre pers_xDE7A__xDF29_chen Daten 䮤ern ...",
27,28,Daimler,Germany,169.5,2563,76.1,Consumer Discretionary,Auto & Truck Manufacturers,"https://www.daimler.com/de04.05.2021 100 Dinge, die Sie ber Daimler wissen sollten, Folge 22. Gesch䦴sbericht 2020. Als PDF und als Online-Version. Nachhaltigkeits-Bericht 2020. Zahlen, Fakten und weitere Informationen zu Nachhaltigkeit bei Daimler und Mercedes-Benz. Neue Struktur. Daimler plant Aufteilung des Gesch䦴s in zwei unabh䮧ige Unternehmen.",
28,29,Volkswagen Group,Germany,240.3,4587,72.9,Consumer Discretionary,Auto & Truck Manufacturers,"https://www.volkswagen.deWillkommen bei Volkswagen. Erfahren Sie alles ber die Marke, Modelle, Angebote, allgemeine Infos, bis zum Trendthema Elektromobilit䴮",
29,30,Mitsubishi UFJ Financial,Japan,49.2,25898,83.9,Financials,Major Banks,"MitsubishiMotors in Deutschland Corporate Webseite. WelcherMitsubishipasst zu Ihrem Leben? Single oder Familie? Stadt, Land oder Gel䮤e?",
30,31,Comcast,United States,80.4,1805,193.5,Consumer Discretionary,Broadcasting & Cable,DieComcastCorporation ist der gr_xDE3F__xDD25_ Kabelnetzbetreiber und der zweitgr_xDE3F__xDD25_ Internetdiensteanbieter,
31,32,Johnson & Johnson,United States,71.9,1412,338.6,Health Care,Medical Equipment & Supplies,"Johnson & Johnson ist ein weltweit t䴩ger US-amerikanischer Pharmazie- und Konsumgterhersteller mit Hauptsitz in New Brunswick im US-Bundesstaat New Jersey. Das Unternehmen ist im Dow Jones Industrial AveraNeuer Inhalt wird bei Auswahl oberhalb des aktuellen Fokusbereichs hinzugefgtJohnson & Johnson ist ein weltweit t䴩ger US-amerikanischer Pharmazie- und Konsumgterhersteller mit Hauptsitz in New Brunswick im US-Bundesstaat New Jersey. Das Unternehmen ist im Dow Jones Industrial Average gelistet. Johnson & Johnson ist mit 71,9 Milliarden US-Dollar Umsatz, bei einem Gewinn von 16,4 Milliarden US-Dollar, 2016 eines der gr_xDE3F__xDD25_n Gesundheitsunternehmen der Welt. Die Pharmasparte firmiert in erster Linie unter Janssen Pharmaceutica und machte 2015 31,4 Milliarden US-Dollar Umsatz. Es gibt auch OTC- resp. Medizinprodukte-Sparten.",
32,33,Banco Santander,Spain,48.3,14124,89.4,Financials,Major Banks,Santander BestCredit Der Ratenkredit fr mehr Bewegungsfreiheit. Zum Angebot. Santander Autob_xDE8B__xDCE5_ Dein Portal fr Neu- und Gebrauchtwagen. Zum Portal . Wichtige Information zur Kreditkartenzahlung im Internet. Online mit Kreditkarte zahlen. Das 䮤ert sich fr Sie ab Januar 2021. Mehr Informationen. Santander Verm_xDE5E__xDD6E_sberatung Verm_xDE5E__xDD6E_ individuell planen. Mehr Informationen. Die Bank ...,
33,34,Bank of Communications,China,53,12092,62.2,Financials,Major Banks,"Die Bank of Communications ist ein Finanzkonzern mit Hauptsitz in Shanghai, Volksrepublik China, und betreibt alle Arten von Bankgesch䦴en. Die Hauptgesellschaft Bank of Communications Co., Ltd. ist eine der fnf fhrenden Banken in China und weltweit t䴩g. Als erste Niederlassung in Kontinentaleuropa hat die Bank of Communications in 2007 den Gesch䦴sbetrieb der Niederlassung ...",
34,35,Nestle,Switzerland,90.8,1298,229.5,Consumer Staples,Food Processing,https://www.nestle.deGutes Essen fr mehr Lebensqualit䴠 dafr stehen wir seit mehr als 150 Jahren. Als Global Player. Als Nachbar vor Ort. In 186 L䮤ern weltweit.,
35,36,UnitedHealth Group,United States,184.9,125,160.2,Health Care,Managed Health Care,"UnitedHealth Group (869561 | US91324P1021) mit aktuellem Aktienkurs, Charts, News und Analysen.",
36,37,Nippon Telegraph & Tel,Japan,105,1803,92.2,Telecommunication Services,Telecommunications services,"Das Unternehmen NTT, gelistet im Nikkei 225, ist in Japan der Marktfhrer unter den Telekommunikationsunternehmen. NTT steht fr Nippon Telegraph and Telephone",
37,38,Ita Unibanco Holding,Brazil,61.3,4199,79.2,Financials,,184 Zeilen 01.09.2020 Auf dieser Seite findest du alle Informationen zur Dividende von der Itau ,
38,39,Softbank,Japan,82.1,2132,78.6,Telecommunication Services,Telecommunications services,"19.05.2021 Softbank bei der FAZ: Hier erhalten Sie ausfhrliche und aktuelle Nachrichten, Videos und Bilder zur SoftBank Group. Jetzt lesen und anschauen!",
39,40,Gazprom,Russia,91.4,2654,51.8,Energy,Oil & Gas Operations,GAZPROM Germania GmbH. Markgrafenstraߥ 23 . 10117 Berlin. Telefon +49 (0)30 20195-0. Telefax +49 (0)30 20195-313. E-Mail: info@gazprom-germania.de ,
40,41,General Motors,United States,166.4,2217,50.8,Consumer Discretionary,Auto & Truck Manufacturers,"Die General Motors Company ist ein global operierender US-amerikanischer Automobilkonzern, dem weltweit mehrere Marken geh_xDE8A__xDD6E_. Die 2009 mit US-amerikanischer/kanadischer staatlicher Mehrheitsbeteiligung als Vehicle Acquisition HolNeuer Inhalt wird bei Auswahl oberhalb des aktuellen Fokusbereichs hinzugefgtDie General Motors Company ist ein global operierender US-amerikanischer Automobilkonzern, dem weltweit mehrere Marken geh_xDE8A__xDD6E_. Die 2009 mit US-amerikanischer/kanadischer staatlicher Mehrheitsbeteiligung als Vehicle Acquisition Holdings LLC gegrndete Gesellschaft bernahm als NGMCO, INC. mit ܢertragungs- und Kaufvertrag vom 26. Juni 2009 abschlieߥnd am 10. Juli 2009 die Verm_xDE5E__xDD6E_swerte der insolventen General Motors Corporation. Als neue General Motors Company LLC setzt sie die Gesch䦴e der Old GM fort. Die ehemalige General Motors Corporation firmiert seit 15. Juli 2009 als Motors Liquidation Company.",
41,42,China Merchants Bank,China,44.5,8551,66.4,Financials,Major Banks,https://www.boerse.de/aktien/China-Merchants-Bank-Aktie/CNE1000002M105.07.2016 Die China Merchants Bank Co. Ltd. wurde im April 1987 gegrndet. Das Unternehmen verfgt ber zahlreiche Niederlassungen und in China. Weltweit kooperiert die China Merchants Bank ,
42,43,IBM,United States,79.9,1175,162.4,Information Technology,Computer Services,https://www.ibm.com/de-IBM Digital Learning-Abonnement. Greifen Sie zw_xDE72__xDDA0_Monate lang auf digitale Lerninhalte von IBM zu einem gnstigen Preis zu. Lernen und sparen Sie jetzt! Erhalten Sie 10% Rabatt auf alle Abonnements.,
43,44,Royal Bank of Canada,Canada,35.3,8911,107.2,Financials,Major Banks,Die Royal Bank of Canada ist Kanadas gr_xDE3F__xDD25_ Bank. Das Unternehmen ist im kanadischen Aktienindex S&P/TSX 60 gelistet und an der Toronto Stock Exchange notiert. Die Royal Bank of Canada hat ber 1.300 Niederlassungen in Kanada und etwa 80.000 Angestellte in derzeit 55 L䮤ern.,
44,45,Japan Post Holdings,Japan,123.7,25221,55.1,Consumer Discretionary,,"Die Nippon Y?sei K.K. ist eine japanische Holdinggesellschaft fr die vier Unternehmen, die 2007 aus der Japan Post, dem Nachfolger der japanischen Staatspost, entstanden sind.",
45,46,Procter & Gamble,United States,65.2,117,228.1,Consumer Staples,Household/Personal Care,"P&G und BIPA starten bereits zum vierten Mal die erfolgreiche Spendenaktion zugunsten ֳterreichs Mtter und Kinder in Not Weiterlesen. 4/14/2021 Aktion Schulhoftr䵭e: Deutsches Kinderhilfswerk, ROSSMANN und Procter & Gamble gratulieren 15 Schulen zur F_xDE8A__xDD25_rung von Schulhofprojekt Weiterlesen. Unsere Marken.",
46,47,Pfizer,United States,52.8,1716,203.1,Health Care,Pharmaceuticals,"https://www.pfizer.deWir sind Pfizer Als forschendes Pharmaunternehmen treiben wir den medizinischen Fortschritt voran. Wir erforschen und entwickeln neue Therapien und Impfstoffe, um Menschen vor Erkrankungen zu schtzen, sie zu heilen oder sie im Leben mit einer schweren Erkrankung zu untersttzen.",
47,48,HSBC Holdings,United Kingdom,62.1,2375,162.6,Financials,Major Banks,"Die Bank HSBC ist eine international agierende britische Groߢank mit Sitz in London. Mit einem Umsatz von 56,1 Milliarden US-Dollar, bei einem Gewinn von 6,0 Mrd. USD, steht die HSBC laut den Forbes Global 2000 auf Platz 9 der weltgr_xDE3F__xDD25_n Neuer Inhalt wird bei Auswahl oberhalb des aktuellen Fokusbereichs hinzugefgtDie Bank HSBC ist eine international agierende britische Groߢank mit Sitz in London. Mit einem Umsatz von 56,1 Milliarden US-Dollar, bei einem Gewinn von 6,0 Mrd. USD, steht die HSBC laut den Forbes Global 2000 auf Platz 9 der weltgr_xDE3F__xDD25_n Banken. Gleichzeitig ist HSBC die gr_xDE3F__xDD25_ europ䩳che Bank. Das Unternehmen erzielte Anfang 2018 eine Marktkapitalisierung von ca. 200 Mrd. USD.",
48,49,Goldman Sachs Group,United States,36.9,8602,90.6,Financials,Investment Services,"Die Goldman Sachs Group, Inc. ist ein weltweit t䴩ges Investmentbanking- und Wertpapierhandelsunternehmen mit Sitz in New York City. Zu Goldman Sachs Kunden z䨬en groߥ Unternehmen und Staaten sowie High Net WortNeuer Inhalt wird bei Auswahl oberhalb des aktuellen Fokusbereichs hinzugefgtDie Goldman Sachs Group, Inc. ist ein weltweit t䴩ges Investmentbanking- und Wertpapierhandelsunternehmen mit Sitz in New York City. Zu Goldman Sachs Kunden z䨬en groߥ Unternehmen und Staaten sowie High Net Worth Individuals, die Dienstleistungen aus dem Bereich des Investmentbanking, Finanzmanagement, Verm_xDE5E__xDD6E_sverwaltung, Prime Brokerage und Underwriting sowie Beratungsdienstleistungen etwa bei Mergers & Acquisitions in Anspruch nehmen. Auߥrdem ist die Firma ber die Direktbank Marcus im Privatkundengesch䦴 t䴩g und gibt gemeinsam mit Apple die Apple Card heraus.",
49,50,Siemens,Germany,88.4,1331,109.8,Industrials,Conglomerates,"https://www.siemens-home.bsh-group.com/deSiemens Geschirrspler berzeugen durch modernes Design und innovative Ideen, die Ihnen das Leben leichter machen. Lassen Sie sich faszinieren von h_xDE4E__xDE33_ter Flexibilit䴮 Denn dank praktischer Funktionen wie h_xDE62__xDD6E_verstellbarer Seitenteile oder umlegbarer Klappstacheln findet alles seinen Platz  selbst groߥ Suppenkellen und kleinste Teel_xDE5A__xDDA5_l. Erfahren Sie mehr",
50,51,BMW Group,Germany,104.2,2103,57.7,Consumer Discretionary,Auto & Truck Manufacturers,https://www.bmwgroup.com/de.htmlWillkommen bei der BMW Group. Unsere Ausrichtung am Premiumgedanken und am Nachhaltigkeits-Prinzip begeistert Menschen weltweit.,
51,52,China Life Insurance,China,82.8,3887,98.1,Financials,Life & Health Insurance,9 Zeilen Hier erhalten Sie eine ܢersicht ber die Dividendenzahlung und Dividendenrendite von ,
52,53,ING Group,Netherlands,53.6,8913,57.9,Financials,Life & Health Insurance,"Beliebteste Bank 2021. Deutschlands gr_xDE3F__xDD25_ Direktbank ist zum 15. Mal in Folge Deutschlands Beliebteste Bank (Wirtschaftsmagazin uro, Ausgabe 05/2021) geworden. Dies haben 199.511 Bankkunden erneut entschieden: Sie sch䴺en besonders den Umgang der ING-Mitarbeiter mit Kundenanfragen, ihre Freundlichkeit und das Gefhl, dass ihnen ...",
53,54,Intel,United States,59.4,1133,170.4,Information Technology,Semiconductors,"https://www.intel.deIntel beim Mobile World Congress 2021. Seien Sie dabei, wenn wir den Mobile World Congress 2021 mit unserem virtuellen Event Edge of Wonderful er_xDE5A__xDDAE_en. Fhrungskr䦴e von Intel werden unsere Innovation und deren Ausfhrung pr䳥ntieren, dafr entwickelt, unsere Kunden in der sich 䮤ernden Welt der 5G-Kommunikation zu untersttzen.",
54,55,Postal Savings Bank Of China,China,48,11894,55.2,Financials,,"Die Postal Savings Bank of China, auch bekannt als PSBC, ist eine kommerzielle Einzelhandelsbank, die grundlegende Finanzdienstleistungen insbesondere fr kleine und mittlere Unternehmen, fr l䮤liche Kunden und fr einkommensschwache Kunden anbietet. PSBC  Die Postal Savings Bank of China, auch bekannt als PSBC, ist eine kommerzielle Einzelhandelsbank, die grundlegende Finanzdienstleistungen insbesondere fr kleine und mittlere Unternehmen, fr l䮤liche Kunden und fr einkommensschwache Kunden anbietet. PSBC hat 40.000 Niederlassungen in allen Regionen Chinas. Nach der Agricultural Bank of China hat es damit die zweith_xDE4E__xDE33_te Anzahl an Filialen unter allen Banken in China.",
55,56,Sberbank,Russia,43,4156,63.9,Financials,Regional Banks,"https://www.sberbankdirect.deSberbank Direct Tagesgeld. Das klassische Sparprodukt fr Anleger, die maximale Flexibilit䴠wollen. keine Mindestanlage. Ein-/Auszahlung jederzeit m_xDE5E__xDF29_ch. flexible Zinsen von aktuell 0,20% p.a. Viertelj䨲liche Zinsgutschrift. Jetzt Konto er_xDE5A__xDDAE_en. Produktdetails. Sberbank Direct Festgeld.",
56,57,TD Bank Group,Canada,31.9,9104,92,Financials,Major Banks,Toronto-Dominion Bank ist ein kanadisches Unternehmen mit Firmensitz in Toronto. Das Unternehmen ist im Aktienindex S&P/TSX 60 gelistet. Das Unternehmen bietet Finanzdienstleistungen fr seine Kunden an. Toronto-Dominion Bank ist daNeuer Inhalt wird bei Auswahl oberhalb des aktuellen Fokusbereichs hinzugefgtToronto-Dominion Bank ist ein kanadisches Unternehmen mit Firmensitz in Toronto. Das Unternehmen ist im Aktienindex S&P/TSX 60 gelistet. Das Unternehmen bietet Finanzdienstleistungen fr seine Kunden an. Toronto-Dominion Bank ist das zweitgr_xDE3F__xDD25_ Kreditinstitut in Kanada. 1855 wurde die Bank of Toronto gegrndet und 1871 entstand die Dominion Bank. 1955 fusionierten diese beiden Banken zur Toronto-Dominion Bank. Sie hat ihren Sitz im gleichnamigen Toronto-Dominion Centre im Financial District von Toronto.,
57,58,Cisco Systems,United States,48.6,1262,165.1,Information Technology,Communications Equipment,"Cisco ist weltweiter Marktfhrer in den Bereichen IT und Netzwerk. Wir untersttzen Unternehmen jeder Gr_xDE3E__xDD60_dabei, die Art zu transformieren, wie Menschen in Kontakt treten, kommunizieren und zusammenarbeiten.",
58,59,Commonwealth Bank,Australia,30-Sep,7036,109.9,Financials,Major Banks,"Die Commonwealth Bank of Australia Ltd., kurz Commonwealth Bank, ist ein australisches Finanzdienstleistungs-Unternehmen mit Firmensitz in Sydney. Sie ist die gr_xDE3F__xDD25_ Bank Australiens und die 45. gr_xDE3F__xDD25_ Bank der Welt, gemessen am verwalteten Verm_xDE5E__xDD6E_.",
59,60,Morgan Stanley,United States,37.9,816,78.3,Financials,Investment Services,"Morgan Stanley ist ein US-amerikanisches Investmentbanking- und Wertpapierhandelsunternehmen mit Hauptsitz in New York, hervorgegangen aus der Teilung von JP Morgan am 5.",
60,61,Novartis,Switzerland,48.5,1304,193.2,Health Care,Pharmaceuticals,"Die Novartis AG ist ein Biotechnologie- und Pharmaunternehmen mit Sitz in Basel. Novartis entstand 1996 aus einer Fusion der beiden Basler Pharma- und Chemieunternehmen Ciba-Geigy und Sandoz. Novartis ist mit 48,7 Mrd. USD Umsatz im Jahr 2020 eines der gr_xDE3F__xDD25_n Pharmaunternehmen der Welt.",
61,62,Banco Bradesco,Brazil,70.2,3624,53.5,Financials,Regional Banks,"Banco Bradesco S.A. ist ein Finanzunternehmen aus Brasilien mit Firmensitz in Osasco. Das Unternehmen ist im Finanzindex IBOVESPA gelistet. Die Bank geh_xDE8B__xDD20_zu den vier gr_xDE3F__xDD25_n Banken des Landes, zu denen auch die Banco do Brasil, die Banco Ita Neuer Inhalt wird bei Auswahl oberhalb des aktuellen Fokusbereichs hinzugefgtBanco Bradesco S.A. ist ein Finanzunternehmen aus Brasilien mit Firmensitz in Osasco. Das Unternehmen ist im Finanzindex IBOVESPA gelistet. Die Bank geh_xDE8B__xDD20_zu den vier gr_xDE3F__xDD25_n Banken des Landes, zu denen auch die Banco do Brasil, die Banco Ita und die Unibanco gez䨬t werden.",
62,63,Industrial Bank,China,44.3,8721,45.1,Financials,Regional Banks,"DieIndustrial BankCo., Ltd. ist ein chinesisches Unternehmen mit Firmensitz in Fuzhou, Fujian. ??????????Industrial BankCompany of China...",
