Name	Street	Zipcode	City	Country	Phonenumber	Website	Email	Segment	Subsegment	Snippet
3D Fabrik Oliver Wesch	Am Stangenberg 11	69239	Neckarsteinach	Germany	+49 6229 618769	www.3d-fabrik.eu	info@3d-fabrik.eu	Industrial and Services	Service Bureau	NaN
3D für Alle	Wengertstraße 5	71292	Friolzheim	Germany	+49 179 3731176	www.3dfueralle.net	info@3dfüralle.de	Industrial and Services	Service Bureau	NaN
3D-Picture.net	Bäckerstraße 6	21244	Buchholz	Germany	+49 4181 92 89 101	www.3d-picture.net	dbielert@3D-Picture.net	Industrial and Services	Service Bureau	"3d-picture.net
Unsere größten 3D Drucker sind in der Lage Objekte mit der Größe von 700*700*1820 mm bzw. 1100*500*820 mm zu drucken. Alle von uns vertriebenen 3D-Drucker und 3D-Scanner finden sie bei uns im Showroom jederzeit vorführbereit. Selbstverständlich sind wir für die Druck- und Scansysteme autorisierter Vertriebspartner.
Geschätzte Lesezeit: 6 min"
TinkerToys GmbH	Breitscheidstr. 51	39114	Magdeburg	Germany	+49 341 58 140 671	www.3ddrucken24.de	info@3ddrucken24.de	Industrial and Services	Service Bureau	NaN
ADDFACTORY	Alexander-Pachmann-Str.4b	85716	Unterschleissheim	Germany	+49 892 0197 791	www.addfactory.de	info@addfactory.de	Industrial and Services	Service Bureau	NaN
ArcTron 3D Vermessungstechnik & Softwareentwicklungs GmbH	Ringstraße 8	93177	Altenthann	Germany	+49 9408 85010	www.arctron.de	info@arctron.de	Industrial and Services	Service Bureau	NaN
B3D World GmbH	Plauener Str. 163-165	13053	Berlin	Germany	+49 30 98 31 79 70	www.b3d-world.com	Mail@b3d-world.com	Industrial and Services	Service Bureau	"www.b3d-world.com
B3D World GmbH Gesellschaft mit beschränkter Haftung Sitz der Gesellschaft Mühlenstr. 8a 14167 Berlin Geschäftsführer Marius Hänzek"
Cuber	Hochstraße 4-6	92693	Eslarn	Germany	+49 9653 929423	www.cuber3d.de	mail@cuber3d.de	Industrial and Services	Service Bureau	NaN
DICK & DICK Laserschneid- und Systemtechnik GmbH	Plautstraße 20	4179	Leipzig	Germany	+49 341 337 55 355	www.dick-dick.de	prototyping@dick-dick.de	Industrial and Services	Service Bureau	"https://www.dick-dick.de
Dick und Dick Laserschneid- & Systemtechnik GmbH - Ihr Dienstleister für Laser- und Systemtechnik, Wasser- und Mikrowassertrahlschneiden und der generativen Fertigung."
Traxer GmbH	Lindberghstr. 18	80939	München	Germany	+49 160 1536 392	www.traxer.de	bernd.hackemann@traxer.de	Industrial and Services	Service Bureau	"https://traxer.de
Traxer ist Spezialist für 3D Drucktechnik! Kompetenz in Technology, Material, Software und Beratung aus einer Hand. Zusammen mit unseren Technologiepartnern liefern wir Ideen und Lösungen u.a. für die Automobil OEM und deren Zulieferer, sowie vielen 3D Druck Anwendern. Wir fertigen funktionelle Prototypen und Sonderserien, sowie ..."
3DDE	Lessingstraße 2 1/4	89231	Neu-Ulm	Germany	+49 176 8949 3879	www.3dde.de	info@3dde.de	Industrial and Services	Service Bureau	"https://www.3dde.de
Startseite. Ob Objekte, Bilder oder sonstige Ideen, dank unseres Fachwissens und neuester Technologie bringen wir Ihre Produkte in die reale Welt. Mit der 3D-Druck Technologie werden die Objekte am Computer gestaltet und von unseren Maschinen in höchster Präzision produziert. Wir helfen Ihnen bei der Umsetzung und Realisierung Ihres Projekts."
canto Ing. GmbH	Kalver Straße 23	58515	Lüdenscheid	Germany	+49 2351 67257	www.prototypen.de	info@canto-web.de	Industrial and Services	Service Bureau	"https://www.prototypen.de
Canto Ing. GmbH, Kalver Straße 23, 58515 Lüdenscheid. Telefon +49 (0) 2351-67257-0, E-Mail info@prototypen.de."
Kunststoff-Institut Lüdenscheid GmbH	Karolinenstraße 8	58507	Lüdenscheid	Germany	+49 2351 1064 176	www.kunststoff-institut-luedenscheid.de	hins@kunststoff-institut.de	Industrial and Services	Service Bureau	"https://kunststoff-institut-luedenscheid.de
KIMW | Kunststoffinstitut Lüdenscheid. Branchentreff 4.0 - Vereint Vertrieb, Netzwerken & Vermarktung! Akkreditiert seit 2000. Oberflächentechnik auf Industrieniveau. Additive Fertigung - schnell zu Ihren ersten Bauteilen. Inhouse-Werkzeugbeschichtung. Bildung aus einem Guss - egal wo. Netzwerk - Treffen - …"
3D Druck Jonas Künzel	Am Handwerkerhof 4	51379	Leverkusen	Germany	+49 2171 366 979 4	www.3djk.de	info@3Djk.de	Industrial and Services	Service Bureau	"https://www.3dok.de
Email: s.krebs(at)3dok.de . Büro. Gabriele Krebs Email: g.krebs(at)3dok.de. Fertigung. Peter Günther Email: guenther(at)3dok.de. Walter Gasteiger Email: gasteiger(at)3dok.de. Rechnungen bitte an: Email: invoice (at) 3dok.de. Stellenangebot; Datenschutz; Impressum; Kontakt; Cookie-Richtlinie (EU) KREBS WERKZEUGTECHNIK GMBH Fon +49 8291 8594-20 Fax +49 8291 8592-33 info@3dok.de . …"
3D-Metall Theobald e.K.	Karl-Heine Strasse 99	4229	Leipzig	Germany	+49 341 491 2175	www.3d-metall-theobald.de	info@3d-metall-theobald.de	Industrial and Services	Service Bureau	"https://www.3d-metall-theobald.de
3D Metall fertigt Ihnen die Werkstücke, die Ihren steigenden Anforderung an integrierender Bauweise und Leichtbau entsprechen. Erfahren Sie die fast unbegrenzten Gestaltungsmöglichkeiten des Selective Laser Meltings ohne Beeinträchtigung der Eigenschaften des Grundwerkstoffes."
Krannich	Wipperfürther Straße 201	51515	Kürten	Germany	+49 2207 9749 924	www.3rei.de	print@3rei.de	Industrial and Services	Service Bureau	"www.frei.de
Ausbildung und Karriere. Aktuelles. Verlassen Sie sich auf über 60 Jahre Erfahrung, die uns zur ersten Adresse bei Stromversorgungen, diversen Frei-Systemen und Komponenten für die Transporttechnik gemacht haben. Wenn es um elektrotechnische oder elektronische Geräte und Komponenten geht, ist Frei Ihr Partner mit deutlichen Pluspunkten."
fabb.one	Ölstr. 2	50825	Köln	Germany		www.fabb.one	mail@fabb.one	Industrial and Services	Service Bureau	NaN
3D Prod	Sossmarer Tor 11A	31249	Hohenhameln	Germany	+49 5128 400697	www.3dprod.com	christof.reinhardt@3dprod.com	Industrial and Services	Service Bureau	"https://www.3dprod.com
01.04.2021 · Depuis 2005, 3D Prod propose son savoir-faire dans le domaine de l’impression 3D et réalise des prototypes, maquettes et petites séries pour les professionnels de nombreux secteurs, tels que l’industrie, le design ou encore l’architecture. 3D Prod maîtrise l’ensemble des solutions actuelles d’impression 3D professionnelle, notamment la stéréolithographie, le frittage laser de ...
Geschätzte Lesezeit: 2 min"
Holocreators UG	Lilienstraße 11 - Lilienhof	20095	Hamburg	Germany	+49 17639088327	www.holocreators.com	support@holocreators.com	Industrial and Services	Service Bureau	"https://holocreators.com
Holocreators GmbH hat 5,00 von 5 Sternen 87 Bewertungen auf ProvenExpert.com 3D-Scan Service, 3D-CT, Bauteilvermessung, STL zu STEP, Reverse Engineering 3D Scanning"
myprintoo	Museumstrasse 31	22765	Hamburg	Germany	+49 408750 9431	www.myprintoo.de	sale@myprintoo.de	Industrial and Services	Service Bureau	NaN
Makerlounge 3D-Studio	Grauhöfer Landwehr 3	38644	Goslar	Germany	+49 5321 3883 833	www.makerlounge.com	info@makerlounge.com	Industrial and Services	Service Bureau	"https://makerlounge.com
3D-Scanner, 3D-Druck und 3D-Dienstleistungen. MAKERLOUNGE 3D-SCANNER. INNOVATIVE UND PREISWERTE LÖSUNGEN. FÜR DEIN 3D-BUSINESS."
Kolbers3D	Nordmarktstraße 7	25348	Glückstadt	Germany	+49 1523 3816 187	www.kolbers.de	info@kolbers.de	Industrial and Services	Service Bureau	NaN
3Dfabtory	Steinhof 10	40699	Düsseldorf	Germany	+49 211 209 3810	www.fabtory.de	info@fabtory.de	Industrial and Services	Service Bureau	"https://fabtory.de
fabtory® ist bereits seit 2006 eine kleine, aber feine Manufaktur für anspruchsvolle 3D-Modelle, die virtuelle 3D-Entwürfe „begreifbar“ macht. Machen Sie Ihren Messe-Auftritt oder Ihr Event zum Hingucker, z.B. mit einem hochdetailliertem Industrieanlagen-Modell aus dem 3D-Drucker, (hier klicken und Beispiele anschauen)
Geschätzte Lesezeit: 40 Sekunden"
XTRUDR UG	Helmuth-Bächle-Strasse 31/1	72135	Dettenhausen	Germany	+49 7157 531 156	www.xtrudr.de	info@xtrudr.de	Industrial and Services	Service Bureau	"www.xtrudr.de
Hier sollte eine Beschreibung angezeigt werden, diese Seite lässt dies jedoch nicht zu.
Weitere Informationen"
PICCOs 3D World GmbH	Güterstraße 2	94469	Deggendorf	Germany	+49 991 3721 3977	www.piccogruppe.de	jo.schmidt@piccogruppe.de	Industrial and Services	Service Bureau	"https://piccogruppe.de
Willkommen bei der PICCO Die Service GmbH. Im Gegensatz zu vielen Wettbewerbern (Austausch aller Geräte, Rollout) empfiehlt PICCO den weiteren Einsatz der vorhandenen Drucker, Kopierer, Plotter und Multifunktionsgeräte."
CRDREI GmbH	Schleißheimer Str. 79	85221	Dachau	Germany	+49 8131 6146 949	www.crdrei.de	buero@crdrei.de	Industrial and Services	Service Bureau	"https://www.crdrei.de
3D-Druck im FDM-Verfahren und IT-Services in Dachau bei München. google-site-verification: googleb1be52b36f2c9e1d.html"
Materialise GmbH	Mary-Somerville-Str. 3	28359	Bremen	Germany	+49 421 944 074 30	www.materialise.com	claudia.schallenberg@materialise.com	Industrial and Services	Service Bureau	"https://www.materialise.com/de
Mit mehr als 25 Jahren Erfahrung im 3D-Druck steht Materialise für Kompetenz insbesondere im Bereich der Software für additive Fertigung und den 3D-Druckdienstleistungen. Die Kombination aus unseren Softwarelösungen und Service-Angeboten verschmelzen zu einer flexiblen und offenen Plattform für die gesamte 3D-Druckindustrie."
FORMFAB	Gottesweg 56-62	50969	Köln	Germany	+49 221 630 600 360	www.formfab.de	info@formfab.de	Industrial and Services	Service Bureau	"https://www.formfab.de
Digitale Fabrikation. Als erstes Kölner Servicebüro bietet FORMFAB professionellen 3D Druck, CNC Fräsen und 3D Scannen für Architekten, Designer und 3D Grafiker aus einer Hand. Alle Vorteile digitaler Fertigung wie hohe Präzision, Schnelligkeit und volle Kostenkontrolle für Ihre Aufgaben im Modell- und Prototypenbau oder die Produktion von Kleinserien."
DREIGEIST GbR	Nordostpark 89	90411	Nürnberg	Germany	+49 911 8 911 911 0	www.dreigeist.com	info@dreigeist.com	Industrial and Services	Service Bureau	"https://www.dreigeist.com
DREIGEIST ist Anwendungsentwickler und Technologiedienstleister sowie unabhängiger Distributor für namhafte Hersteller von industriellen 3D-Druckern, Material und Peripheriegeräten und bildet die Verbindung zwischen Herstellern und Kunden."
Erduman und Güclü GbR	Kronprinzenstraße 65	75177	Pforzheim	Germany	+49 7231 6040447	www.eg3d.de	info@eg3d.de	Industrial and Services	Service Bureau	"https://egfd.de
02.06.2021 · Evangelische Gesellschaft für Deutschland KdöR. Telegrafenstraße 59-63. 42477 Radevormwald. T +49 2195 925 220. M info noSpam @egfd noSpam .de. Danke für Ihre Unterstützung. Unsere Kontoverbindung: KD-Bank eG Dortmund. IBAN: DE28 3506 0190 2108 8030 72."
alphacam GmbH	Erlenwiesen 16	73614	Schorndorf	Germany	+49 7181 92 22 0	www.alphacam.de	info@alphacam.de	Industrial and Services	Service Bureau	"https://www.alphacam.de
Seit über 20 Jahren Beratung, Vertrieb und Dienstleistung für Stratasys, Siemens, Mecasoft und PTC Creo zu 3D-Printern, Rapid Prototyping und CAD/CAM/PLM"
facts42morrow GmbH	Dammweg 6	1097	Dresden	Germany	+49 176 579492 78	www.facts42morrow.com	info@facts42morrow.com	Industrial and Services	Service Bureau	NaN
FKM Sintertechnik GmbH	Zum Musbach 6	35216	Biedenkopf	Germany	+49 64 61 75 85 2 0	www.fkm-lasersintering.de	info@fkm-lasersintering.de	Industrial and Services	Service Bureau	"https://www.fkm.net
3D-Druck-Dienstleister seit 1994 | FKM Laser Sintering 3D-Druck-Dienstleister seit 1994 100 % Additive Manufacturing für Funktionsprototypen, Ersatzteile und Serien direkt aus 3D-Daten. FKM ist 3D-Druck-Dienstleister-Pionier für Selektives Lasersintern (SLS) und Selektives Laserschmelzen (SLM) in Deutschland und Europa."
Heinz-Engineering	Nachtigallstr. 31	84130	Dingolfing	Germany	+49 17699505871	www.heinz-engineering.com	info@heinz-engineering.com	Industrial and Services	Service Bureau	"https://heinz-engineering.com
Willkommen bei Heinz-Engineering Jetzt Angebot anfordern. Online 3D-Druck Service Jetz Angebot anfordern. Ihre Idee. Jeder 3D-Druck beginnt mit ihrer einzigartigen Idee. Konstruktion. Falls Sie noch kein 3D Modell haben, übernehmen wir gerne die Konstruktion. 3D Druck. Nach Überprüfung des 3D-Modells beginnt der Druckprozess . Versand. Wir schicken Ihnen ihr Bauteil per Post oder Sie holen ..."
Keller Modellbau	Im Riegel 2	73450	Neresheim	Germany	+49 0 73 26 5200	www.keller-modellbau.de	info@keller-modellbau.de	Industrial and Services	Service Bureau	"https://www.keller-modellbau.de
Keller Modellbau ist der Spezialist wenn es um CNC-Frästechnik, Modellbau, Design-Modelle, Rapid Prototyping, Additive Fertigung (Manufacturing) geht"
KerCon GmbH & Co. KG	Higis-Ring 20	54578	Wiesbaum  	Germany	+49 65 93 99 64 34 4	www.kercon.eu	info@kercon.eu	Industrial and Services	Service Bureau	"https://kercon.eu
KerCon - Präzision in 3D. Qualität aus der Eifel. Additive Manufacturing. Mit 3D-Druckern der neusten Generation und einem hohen Know-How in der Additiven Manufacturing erstellen wir Ihnen 3D-Drucke, die genau für Ihre Ansprüche gemacht sind. Profitieren Sie von den Vorteilen moderner 3D-Technik.
Geschätzte Lesezeit: 2 min"
LIGHTWAY GmbH & Co. KG	Im Schülert 3b	56651	Niederzissen	Germany	+49 2636 964980	www.lightway-3d.de	info@lightway-3d.de	Industrial and Services	Service Bureau	"https://lightway-3d.de
11.03.2021 · Verfahren & Vorteile! Das selektive Laserschmelzen ist ein additives Fertigungsverfahren aus der Welt des 3D-Drucks. Pulverisiertes Metall wird mit Hilfe von Lasertechnik schichtweise aufgebaut. Dieses Verfahren bringt viele Vorteile mit sich: Funktionsintegrationen oder auch die Herstellung komplexer Strukturen sind in kurzer Zeit möglich! mehr.
Geschätzte Lesezeit: 3 min"
Manhillen Drucktechnik GmbH	Schillerstraße 90	71277	Rutesheim	Germany	+49 7152 999180	www.man-druckt.de	info@man-druckt.de	Industrial and Services	Service Bureau	"https://www.man-druckt.de
UV-Offsetdruck. UV-Foliendruck von 0,1 bis 0,8 mm auf der KBA Genius 52 UV – für aufmerksamkeitsstarke Werbemittel! Mousepads, Thekenmatten, Schreibunterlagen. Aufkleber und Sticker. Lentikulardruck („Wackelbilder“) Türhänger, Lineale uvm."
marhellabs	Im Unholder Weg 9	71696	Möglingen	Germany	+49 7141 9732004	www.marhellabs.com	info@marhellabs.com	Industrial and Services	Service Bureau	"https://www.marhellabs.com
Marhellabs ist Ihr kompetenter Ansprechpartner für die Fertigung und Entwicklung von 3D Objekten. CAD-Konstruktion & 3D-Datenerstellung inkl. Nachbearbeitung. Als Full-Service-Dienstleister für den 3D-Druc k erstellen wir in der hausinternen CAD-Konstruktion druckbare 3D-Modelle für Ihre Prototypenerstellung, für 3D-Kleinserien und für die ..."
MFD - Kunststofftech GmbH	Hagener Str. 10a	31535	Neustadt	Germany	+49 5034 7404-703	www.mfd-gmbh.de	info@mfd-gmbh.de	Industrial and Services	Service Bureau	NaN
Gesellschaft für Mikrotechnologie mbH	Bismarckstraße 142b	47057	Duisburg	Germany	+49 203 306 2050	www.microTEC-d.com	info@microTEC-d.com	Industrial and Services	Service Bureau	"https://www.microtec-d.com
microTEC Gesellschaft für Mikrotechnologie mbH Bismarckstraße 142b 47057 Duisburg Germany Tel: +49.203.306.2050 info@microTEC-d.com
Geschätzte Lesezeit: 1 min"
MM Printed Composites GmbH	Gewerbestr. 19	8115	Lichtentanne	Germany	+49  375 541255	www.printed-composites.com	info@printed-composites.com	Industrial and Services	Service Bureau	"https://printed-composites.com
Die Leistungen der MM Printed Composites GmbH gliedern sich in 4 Hauptbestandteile: Design und CAD/M, Scantechnik, 3D Drucker & 3D Druckkomponenten und 3D Erzeugnisse."
Modellbau Kurz GmbH & Co.KG	Ringstraße 139	70839	Gerlingen	Germany	+49  71 52 92 88 00	www.kurzmodellbau.de	vertrieb@KurzModellbau.de	Industrial and Services	Service Bureau	"https://www.kurzmodellbau.de
Modellbau Kurz GmbH & Co.KG I Ihr zuverlässiger Fertigungspartner. Der Weg. zum Ziel. ist Kurz. Sie haben eine Idee? Wir kümmern uns um den Rest! Wir gehen mit Ihnen den gesamten Weg. Vom ersten Einfall bis zur Serie. Ob Reverse Engineering oder Konstruktion, ob Design Modellbau oder Rapid Protoyping: Unsere Fachleute machen aus Ihren ...
Geschätzte Lesezeit: 3 min"
MS-Creare GbR	Johann-Riedel-Str. 27	97424	Schweinfurt	Germany	+49 171 600 2315	www.ms-creare.com	info@ms-creare.com	Industrial and Services	Service Bureau	"ms-creare.com
Hier sollte eine Beschreibung angezeigt werden, diese Seite lässt dies jedoch nicht zu.
Weitere Informationen"
Bauer & Praus GbR 	Gundelfinger Str. 43	10318	Berlin	Germany	+49 30 34 660 331	www.objectplot.de	info@objectplot.de	Industrial and Services	Service Bureau	NaN
ProTec3D Alexander Reizner	Sillersdorferstr.24	83395	Freilassing	Germany	+49 8654 478 226	www.protec3d.de	reizner.a@protec3d.de	Industrial and Services	Service Bureau	"https://www.protec3d.de
PROTEC3D - Wir sind Ihr Ansprechpartner, für alle derzeit verfügbaren Rapid Prototyping Verfahren und finden die optimale Lösung, für Ihren Anwendungsfall."
Rapid 3D Service	Auf der Lake 8	57439	Attendorn	Germany	+49 2722 6589760	www.rapid3dservice.de	info@rapid3dservice.de	Industrial and Services	Service Bureau	"https://rapid3dservice.de
Dank unserer hervorragenden maschinellen Ausstattung und unseres Partnernetzwerkes sind wir in der Lage, auch für anspruchsvolle Aufgabenstellungen stets effektive und zielführende Lösungen zu entwickeln. High-End-Qualität zu einem angemessenen Preis-Leistungs-Verhältnis und eine zügige Projektdurchführung zeichnen unsere Rapid 3D Service GmbH aus Attendorn aus.
Geschätzte Lesezeit: 50 Sekunden"
Rapidobject GmbH	Weißenfelser Straße 84	4229	Leipzig	Germany	+49 341 23 18 37 30 	www.rapidobject.com	info@rapidobject.com	Industrial and Services	Service Bureau	"https://www.rapidobject.com
Als 3D Druck Dienstleister fertigen wir Ihre 3D Druck Modelle Beratung 24h Express Große Materialauswahl (Metalle, Kunststoffe) CAD Konstruktion & 3D Scannen Über 10 Jahre Erfahrung TÜV-zertifiziert 3D Daten online hochladen"
Matthias Riesen Riesen Consulting	Freundorf 20	94569	Stephansposching	Germany	+49 9931 891193	www.riesen-consulting.de	info@riesen-consulting.de	Industrial and Services	Service Bureau	"https://riesen-consulting.de
Riesen Consulting ist seit dem Jahr 2007 branchenübergreifender Partner des Handwerks und der Industrie. Wir sind Dienstleister und Schulungsanbieter in allen Fragen rund um die 3D-CAD-Systeme Autodesk Inventor und Autodesk Fusion 360 sowie der 2D/3D-CAD-Software Autodesk AutoCAD.
Geschätzte Lesezeit: 1 min"
Rosswag GmbH	August-Roßwag-Str. 1	76327	Pfinztal	Germany	+49 7240 94100	www.rosswag-engineering.de	info@rosswag-engineering.de	Industrial and Services	Engineering & Product Design	"https://www.rosswag-engineering.de
Rosswag Engineering ist auf die Additive Fertigung durch Selektives Laserschmelzen (SLM / LPBF) in einer ganzheitlichen und firmeninternen Prozesskette spezialisiert. Dies ermöglicht die effiziente und wirtschaftliche Herstellung funktionsoptimierter Metallbauteile aus vielen unterschiedlichen Legierungen. Das Leistungsportfolio reicht von der Werkzeugfertigung und Prototypen mit kleinen ..."
Sneex - Print it!	Obere Stautenbergstraße 16	57290	Neunkirchen	Germany	+49 151 54847686	www.sneex-print-it.de	info@sneex-print-it.de	Industrial and Services	Service Bureau	"https://sneex-print-it.de
Sneex – Print it! – Individuelle Produkte und Geschenke. Alle unsere Produkte werden für Sie individualisiert. Wer ist der Stärkste im ganzen Land? Maracas “Thor” – individualisiert mit Name und Farbe. Alle Produkte für Sie in CAD designt und im 3D Druckverfahren gefertigt. Persönliche Beratung ist …"
Solling-CAD	Sollingstr. 12	37194	Bodenfelde	Germany	+49 5572 5899991	www.solling-cad.de	info@solling-cad.de	Industrial and Services	Service Bureau	NaN
Speedpart GmbH	Bahnhofstr. 18	97907	Hasloch/Main	Germany	+49 9342 91870 	www.speedpart.de	box@speedpart.de	Industrial and Services	Service Bureau	"https://www.speedpart.de
www.speedpart.de"
Steinbach AG	Westerfeldstraße 13	32758	Detmold	Germany	+49 5231 9607 0	www.steinbach-ag.de	info@steinbach-ag.de	Industrial and Services	IM	"https://www.steinbach-ag.de
Die Steinbach AG – Partner der Industrie. Die Steinbach AG ist ein mittelständischer, weltweit erfolgreicher Partner der Industrie mit Hauptsitz in Detmold (NRW) und Vertretungen in Shanghai, Charlotte/USA, Taipei und Brisbane. Im Laufe der über 90-jährigen Firmengeschichte sind und bleiben die kontinuierliche Produktentwicklung sowie die ..."
Steinbeis-Beratungszentrum IMAPS Institut für Materialanwendungen und 3D-Druck-Lösungen	Willy-Andreas-Allee 19	76131	Karlsruhe	Germany	+49 721 132095	www.steinbeis-imaps.de	tony.tran-mai@stw.de	Industrial and Services	Service Bureau	"steinbeis-imaps.de
15.10.2020 · Das disruptive Potential des 3D-Drucks für deutsche Unternehmen. Die Marktforschungsfirma IDC verkündete in Ihrem „Semiannual 3D Printing Spending Guide“, dass die weltweiten Ausgaben für den 3D-Druck bis 2020 auf 35,4 Milliarden US-Dollar (31,54 Milliarden Euro) steigen werden. Somit würde sich die jährliche Wachstumsrate von 2015 bis ..."
t-c-w trade center wagner gmbh	Galgenbergweg 4	77933	Lahr	Germany	+49 7821 908776	www.3d-prototyp24.de	3d-prototyp24@t-c-w.de	Industrial and Services	Service Bureau	"www.3d-prototyp24.de
W illkommen bei www.3D-Prototyp24.de. Sie suchen einen zuverlässigen und günstigen Dienstleister für die schnelle und günstige Produktion von 3D Kunststoff Prototypen?. Unser Service für Sie:. Prototypen aus Kunststoff günstig & gut per FDM (robuster ABS - Kunststoff) oder bei sehr hohen Ansprüchen an die Oberfläche hochauflösend per Lasersintern (robuster PA - Kunststoff)."
topmodellfabrik GmbH	Föhrenstr. 25	78532	Tuttlingen	Germany	+49 7461 15094 40	www.topmodellfabrik.de	info@topmodellfabrik.de	Industrial and Services	Service Bureau	NaN
